date	south	north
2020-03-03	-	7
2020-03-04	-	-
2020-03-05	-	-
2020-03-06	-	12
2020-03-07	-	2
2020-03-08	-	33
2020-03-09	22	5
2020-03-10	-	12
2020-03-11	15	22
2020-03-12	-	5
2020-03-13	-	12
2020-03-14	18	16
2020-03-15	21	23
2020-03-16	36	31
2020-03-17	28	32
2020-03-18	15	16
2020-03-19	-	-
2020-03-20	-	-
2020-03-21	-	-
2020-03-22	90	154
2020-03-23	-	140
2020-03-24	22	87
2020-03-25	-	17
2020-03-26	156	38
2020-03-27	-	-
2020-03-28	-	-
2020-03-29	181	144
2020-03-30	-	-
2020-03-31	94	147
2020-04-01	-	-
2020-04-02	142	187
2020-04-03	-	-
2020-04-04	-	-
2020-04-05	-	-
2020-04-06	296	366
2020-04-07	-	-
2020-04-08	361	324
2020-04-09	-	-
2020-04-10	-	-
2020-04-11	-	-
2020-04-12	-	-
2020-04-13	312	343
2020-04-14	-	380
