date	south	north
2020-03-03	-	-
2020-03-04	-	-
2020-03-05	-	-
2020-03-06	-	-
2020-03-07	-	-
2020-03-08	-	-
2020-03-09	-	29
2020-03-10	39	15
2020-03-11	31	65
2020-03-12	25	36
2020-03-13	-	-
2020-03-14	16	27
2020-03-15	39	53
2020-03-16	33	23
2020-03-17	106	78
2020-03-18	65	45
2020-03-19	19	49
2020-03-20	-	-
2020-03-21	-	-
2020-03-22	-	-
2020-03-23	146	380
2020-03-24	-	321
2020-03-25	30	228
2020-03-26	370	39
2020-03-27	34	299
2020-03-28	-	-
2020-03-29	-	-
2020-03-30	46	219
2020-03-31	-	-
2020-04-01	143	475
2020-04-02	-	-
2020-04-03	233	438
2020-04-04	-	-
2020-04-05	-	-
2020-04-06	-	-
2020-04-07	310	562
2020-04-08	-	-
2020-04-09	501	784
2020-04-10	-	-
2020-04-11	-	-
2020-04-12	-	-
2020-04-13	-	-
2020-04-14	389	702
